2017-12-18 10:13:22,368 p=25318 u=packetferret |   25318 1513613602.36770: starting run
2017-12-18 10:13:22,467 p=25318 u=packetferret |   25318 1513613602.46725: Added group all to inventory
2017-12-18 10:13:22,467 p=25318 u=packetferret |   25318 1513613602.46752: Added group ungrouped to inventory
2017-12-18 10:13:22,467 p=25318 u=packetferret |   25318 1513613602.46768: Group all now contains ungrouped
2017-12-18 10:13:22,468 p=25318 u=packetferret |   25318 1513613602.46842: Loading CacheModule 'memory' from /usr/lib/python2.7/site-packages/ansible/plugins/cache/memory.py
2017-12-18 10:13:22,469 p=25318 u=packetferret |   25318 1513613602.46964: Loading InventoryModule 'host_list' from /usr/lib/python2.7/site-packages/ansible/plugins/inventory/host_list.py
2017-12-18 10:13:22,469 p=25318 u=packetferret |   25318 1513613602.46990: Loading InventoryModule 'script' from /usr/lib/python2.7/site-packages/ansible/plugins/inventory/script.py
2017-12-18 10:13:22,470 p=25318 u=packetferret |   25318 1513613602.47017: Loading InventoryModule 'yaml' from /usr/lib/python2.7/site-packages/ansible/plugins/inventory/yaml.py
2017-12-18 10:13:22,470 p=25318 u=packetferret |   25318 1513613602.47051: Loading InventoryModule 'ini' from /usr/lib/python2.7/site-packages/ansible/plugins/inventory/ini.py
2017-12-18 10:13:22,470 p=25318 u=packetferret |   25318 1513613602.47067: Examining possible inventory source: /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/.vagrant/provisioners/ansible/inventory/vagrant_ansible_inventory
2017-12-18 10:13:22,470 p=25318 u=packetferret |   25318 1513613602.47080: Attempting to use plugin host_list (/usr/lib/python2.7/site-packages/ansible/plugins/inventory/host_list.py)
2017-12-18 10:13:22,471 p=25318 u=packetferret |   25318 1513613602.47096: /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/.vagrant/provisioners/ansible/inventory/vagrant_ansible_inventory did not meet host_list requirements
2017-12-18 10:13:22,471 p=25318 u=packetferret |   25318 1513613602.47108: Attempting to use plugin script (/usr/lib/python2.7/site-packages/ansible/plugins/inventory/script.py)
2017-12-18 10:13:22,471 p=25318 u=packetferret |   25318 1513613602.47122: /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/.vagrant/provisioners/ansible/inventory/vagrant_ansible_inventory did not meet script requirements
2017-12-18 10:13:22,471 p=25318 u=packetferret |   25318 1513613602.47133: Attempting to use plugin yaml (/usr/lib/python2.7/site-packages/ansible/plugins/inventory/yaml.py)
2017-12-18 10:13:22,472 p=25318 u=packetferret |   25318 1513613602.47216: Loading data from /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/.vagrant/provisioners/ansible/inventory/vagrant_ansible_inventory
2017-12-18 10:13:22,472 p=25318 u=packetferret |   25318 1513613602.47273: /home/packetferret/development/public/vagrant/vagrant_network_multivendor_access/.vagrant/provisioners/ansible/inventory/vagrant_ansible_inventory was not parsable by yaml
2017-12-18 10:13:22,472 p=25318 u=packetferret |   25318 1513613602.47286: Attempting to use plugin ini (/usr/lib/python2.7/site-packages/ansible/plugins/inventory/ini.py)
2017-12-18 10:13:22,474 p=25318 u=packetferret |   25318 1513613602.47485: set inventory_file for aggregation02
2017-12-18 10:13:22,475 p=25318 u=packetferret |   25318 1513613602.47501: set inventory_dir for aggregation02
2017-12-18 10:13:22,475 p=25318 u=packetferret |   25318 1513613602.47513: Added host aggregation02 to inventory
2017-12-18 10:13:22,475 p=25318 u=packetferret |   25318 1513613602.47527: Added host aggregation02 to group ungrouped
2017-12-18 10:13:22,475 p=25318 u=packetferret |   25318 1513613602.47537: set ansible_port for aggregation02
2017-12-18 10:13:22,475 p=25318 u=packetferret |   25318 1513613602.47547: set ansible_ssh_private_key_file for aggregation02
2017-12-18 10:13:22,475 p=25318 u=packetferret |   25318 1513613602.47557: set ansible_host for aggregation02
2017-12-18 10:13:22,475 p=25318 u=packetferret |   25318 1513613602.47566: set ansible_user for aggregation02
2017-12-18 10:13:22,476 p=25318 u=packetferret |   25318 1513613602.47612: set inventory_file for aggregation01
2017-12-18 10:13:22,476 p=25318 u=packetferret |   25318 1513613602.47628: set inventory_dir for aggregation01
2017-12-18 10:13:22,476 p=25318 u=packetferret |   25318 1513613602.47639: Added host aggregation01 to inventory
2017-12-18 10:13:22,476 p=25318 u=packetferret |   25318 1513613602.47650: Added host aggregation01 to group ungrouped
2017-12-18 10:13:22,476 p=25318 u=packetferret |   25318 1513613602.47661: set ansible_port for aggregation01
